1303,南亞,~,2019-01-01,2019-8-31
1326,台化,-,2019-01-01,2019-8-31
1402,遠東新,~,2019-01-01,2019-8-31
2002,中鋼,~,2019-01-01,2019-8-31
2105,正新,~,2019-01-01,2019-8-31
2303,聯電,+,2019-01-01,2019-8-31
2308,台達電,~,2019-01-01,2019-8-31
2317,鴻海,~,2019-01-01,2019-8-31
2327,國巨,-,2019-01-01,2019-8-31
2330,台積電,+,2019-01-01,2019-8-31
2352,佳世達,+,2019-01-01,2019-8-31
2357,華碩,~,2019-01-01,2019-8-31
2379,瑞昱,+,2019-01-01,2019-8-31
2382,廣達,+,2019-01-01,2019-8-31
2412,中華電,+,2019-01-01,2019-8-31
2454,聯發科,+,2019-01-01,2019-8-31
2474,可成,~,2019-01-01,2019-8-31
2609,陽明,-,2019-01-01,2019-8-31
2610,華航,-,2019-01-01,2019-8-31
2633,台灣高鐵,~,2019-01-01,2019-8-31
2801,彰銀,+,2019-01-01,2019-8-31
2880,華南金,+,2019-01-01,2019-8-31
2881,富邦金,~,2019-01-01,2019-8-31
2882,國泰金,~,2019-01-01,2019-8-31
2883,開發金,~,2019-01-01,2019-8-31
2884,玉山金,+,2019-01-01,2019-8-31
2886,兆豐金,+,2019-01-01,2019-8-31
2890,永豐金,+,2019-01-01,2019-8-31
2892,第一金,+,2019-01-01,2019-8-31
2912,統一超,~,2019-01-01,2019-8-31
3008,大立光,~,2019-01-01,2019-8-31
3045,台灣大,~,2019-01-01,2019-8-31
3711,日月光投控,~,2019-01-01,2019-8-31
4904,遠傳,~,2019-01-01,2019-8-31
4938,和碩,+,2019-01-01,2019-8-31
5871,中租-KY,+,2019-01-01,2019-8-31
5876,上海商銀,~,2019-01-01,2019-8-31
5880,合庫金,+,2019-01-01,2019-8-31
6415,矽力-KY,+,2019-01-01,2019-8-31
6505,台塑化,-,2019-01-01,2019-8-31
6669,緯穎,+,2019-01-01,2019-8-31
9910,豐泰,+,2019-01-01,2019-8-31
1301,台塑,-,2020-01-01,2020-08-31
2002,中鋼,-,2020-01-01,2020-08-31
2408,南亞科,-,2020-01-01,2020-08-31
2474,可成,-,2020-01-01,2020-08-31
2801,彰銀,-,2020-01-01,2020-08-31
2880,華南金,-,2020-01-01,2020-08-31
2890,永豐金,-,2020-01-01,2020-08-31
2891,中信金,-,2020-01-01,2020-08-31
2892,第一金,-,2020-01-01,2020-08-31
2912,統一超,-,2020-01-01,2020-08-31
3008,大立光,-,2020-01-01,2020-08-31
3711,日月光投控,-,2020-01-01,2020-08-31
5876,上海商銀,-,2020-01-01,2020-08-31
6505,台塑化,-,2020-01-01,2020-08-31
