stock,name,group
5269,祥碩,tw100
3037,欣興,tw100
3533,嘉澤,tw100
6456,GIS-KY,tw100
2542,興富發,tw100
3034,聯詠,tw100
4958,臻鼎-KY,tw100
2888,新光金,tw100
2498,宏達電,tw100
8341,日友,tw100
3532,台勝科,tw100
2448,晶電,tw100
2324,仁寶,tw100
2356,英業達,tw100
3481,群創,tw100
2313,華通,tw100
1590,亞德客-KY,tw100
2903,遠百,tw100
2385,群光,tw100
1227,佳格,tw100
2834,臺企銀,tw100
9904,寶成,tw100
3653,健策,tw100
2383,台光電,tw100
2409,友達,tw100
6239,力成,tw100
2449,京元電子,tw100
9917,中保科,tw100
6278,台表科,tw100
1722,台肥,tw100
3044,健鼎,tw100
2867,三商壽,tw100
2812,台中銀,tw100
9941,裕融,tw100
2347,聯強,tw100
1229,聯華,tw100
1605,華新,tw100
2360,致茂,tw100
1434,福懋,tw100
1476,儒鴻,tw100
6213,聯茂,tw100
1707,葡萄王,tw100
2809,京城銀,tw100
3023,信邦,tw100
3406,玉晶光,tw100
2354,鴻準,tw100
3005,神基,tw100
9933,中鼎,tw100
2404,漢唐,tw100
6409,旭隼,tw100
3443,創意,tw100
6592,和潤企業,tw100
2439,美律,tw100
2027,大成鋼,tw100
2201,裕隆,tw100
5522,遠雄,tw100
2059,川湖,tw100
2451,創見,tw100
2049,上銀,tw100
8464,億豐,tw100
8454,富邦媒,tw100
2615,萬海,tw100
2344,華邦電,tw100
3706,神達,tw100
6269,台郡,tw100
1477,聚陽,tw100
1717,長興,tw100
2618,長榮航,tw100
3702,大聯大,tw100
2889,國票金,tw100
9914,美利達,tw100
1789,神隆,tw100
2915,潤泰全,tw100
2345,智邦,tw100
2101,南港,tw100
2823,中壽,tw100
8046,南電,tw100
2458,義隆,tw100
1802,台玻,tw100
2337,旺宏,tw100
1504,東元,tw100
2603,長榮,tw100
2377,微星,tw100
3231,緯創,tw100
2606,裕民,tw100
9945,潤泰新,tw100
2376,技嘉,tw100
1536,和大,tw100
6176,瑞儀,tw100
1210,大成,tw100
1723,中碳,tw100
9921,巨大,tw100
2492,華新科,tw100
1101,台泥,tw50
1102,亞泥,tw50
1216,統一,tw50
1301,台塑,tw50
1303,南亞,tw50
1326,台化,tw50
1402,遠東新,tw50
2002,中鋼,tw50
2105,正新,tw50
2207,和泰車,tw50
2227,裕日車,tw50
2301,光寶科,tw50
2303,聯電,tw50
2308,台達電,tw50
2317,鴻海,tw50
2327,國巨,tw50
2330,台積電,tw50
2352,佳世達,tw50
2357,華碩,tw50
2379,瑞昱,tw50
2382,廣達,tw50
2395,研華,tw50
2408,南亞科,tw50
2412,中華電,tw50
2454,聯發科,tw50
2474,可成,tw50
2609,陽明,tw50
2610,華航,tw50
2633,台灣高鐵,tw50
2801,彰銀,tw50
2880,華南金,tw50
2881,富邦金,tw50
2882,國泰金,tw50
2883,開發金,tw50
2884,玉山金,tw50
2885,元大金,tw50
2886,兆豐金,tw50
2887,台新金,tw50
2890,永豐金,tw50
2891,中信金,tw50
2892,第一金,tw50
2912,統一超,tw50
3008,大立光,tw50
3045,台灣大,tw50
3711,日月光投控,tw50
4904,遠傳,tw50
4938,和碩,tw50
5871,中租-KY,tw50
5876,上海商銀,tw50
5880,合庫金,tw50
6415,矽力-KY,tw50
6505,台塑化,tw50
6669,緯穎,tw50
9910,豐泰,tw50
